课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩,,
文学欣赏与批评,通识选修课（公选课）,艺术体验与审美鉴赏,陈国恩,陈老师讲得很棒！本人是工科小孩，但是听老师的课不会有生涩的感觉。对于文学欣赏从系统架构的搭建，到具体文学作品的分析都有很详细的MOOC。,平时不用去教室！！！！除了第一次、中间一次翻转课堂和最后去教室结课考试，其他时间都不用去上课。课程主要是依托于MOOC，把视频看完后面几道题目答了就OK。每周会有讨论题，在讨论区写写自己的回答就完事了。,结课写三道题，两道文学理论（没买课本没咋看MOOC也没关系，按照自己的理解稍微加一点点老师MOOC的案例就行），还有一篇800字的文学批评（这一部分就是对文章选一个角度展开来进行文学欣赏，畅所欲言）,94,,
汽车文化与人类文明,通识选修课（公选课）,科学精神与生命关怀,夏热,主要讲的一些汽车相关的知识，包括汽车构造、汽车品牌、汽车广告、汽车运动之类的，老师人很好上课也认真,一个学期大概会有三次签到，签到的前一周课老师会提前通知，除了期末考试以外零食需要完成一篇小论文,开卷考试，老师会提前划好范围并给出重点，几乎是原题,90,,
东方电影与东方文化,通识选修课（公选课）,艺术体验与审美鉴赏,黄献文,上课看电影解说，电影都很好看！,没有签到没有展示没有作业！,开卷手写两千字影评，可以用电子设备查资料,93,,
大众文化理论的研究与实践,通识选修课（公选课）,社会科学与现代社会,李松,非常轻松，老师会对一些社会现象进行分析,倒数第二次课点了一次名，最后一次课考试随堂论文,最后一次课随堂论文，1000字左右，主题不限，会给一些提示的主题,91,,
金融工程创新艺术,通识选修课（公选课）,社会科学与现代社会,叶老师,金融与相关理论，以及跨学科,有课堂参与提问，有一篇结课论文,结课论文+课堂表现+小组活动,97,,
外交礼仪与谈判,通识选修课（公选课）,社会科学与现代社会,吴蔚,超级棒，老师去过很多国家，见识很广,偶尔点名，一次pre是平时作业,考试，很简单，选题写,90,,
中国近现代外交关系,通识选修课（公选课）,中华文化与世界文明,王萌,主要讲授中国近现代外交关系,无考勤和平时作业。。。。,开卷考试。。。。。。。。。,93,,
当代世界经济与政治,通识选修课（公选课）,中华文化与世界文明,封永平,没听（）但是好像讲了中日关系，欧盟之类的,有两次平时作业，有一次平时作业结束后老师在课堂上点名让同学们起来简单讲了下自己的作业（我请了两次假错过了一次作业感觉平时分被扣没了。。。,当堂开卷考试，可以查阅电子设备，你甚至可以离开教室去其他地方写，只要按时交就行,85,,
西方文明史,通识选修课（公选课）,中华文化与世界文明,王爱菊,课程很有意思，女老师非常幽默且学识渊博，男老师不做评价,有签到和提问，最好每节课都去,四千中文或者六千中文，学期末才公布选题，我真的哭死,90,,
身边的材料学,通识选修课（公选课）,科学精神与生命关怀,肖文凯,很水，不过也很有意思，老师要求不严,有过一次签到，论文加作业的形式结课，没什么其他麻烦事,论文，内容和材料学有关就行 也可以是随笔,89,,
元素营养与健康,通识选修课（公选课）,科学精神与生命关怀,田卫群,元素，化学、生物相关,每节课都签到，有个小组合作展示，期末开卷考试很简单，上课不用听讲,开卷考试，不限时的那种,92,,
莎士比亚戏剧导读,通识选修课（公选课）,中华文化与世界文明,戴丹妮,莎士比亚戏剧，每节课讲一部戏,有三次签到，一个期末小论文,剧评小论文，比较好写,90,,
疫苗与健康,通识选修课（公选课）,科学精神与生命关怀,刘万红,老师上课主要介绍几种疫苗，能学到一些实用的与疫苗有关的知识,有课堂签到（不定方式，有二维码签到或者位置签到等），有课堂展示，有一项平时作业（论文等各种形式都行），期末提前一周发试卷结课。,提前一周发试卷，相当于开卷,94,,
概率论与数理统计,公共课（高数、线代、大物和思政课等）,非公选课,刘艳,刘老师人很好，讲述很清晰,每周交一次作业，正常批改,闭卷考试，考题比较简单,98,,
旅行生活与寄生虫病,通识选修课（公选课）,科学精神与生命关怀,蔡国斌,老师很好，可以了解些课外知识，但ppt中有些图片可能会引起不适（比较寄生虫））,无签到，两次学习通小测，做的不好还能和老师商量重做,2000到3000字论文结课,94,,
传播与当代问题,专业课程,非公选课,董庆新,每节课是一个专题，很有意思，同学讨论氛围很好,不考勤，自己举手回答问题，举手的很多，平时做一次小组pre,写一篇个人结课论文，字数要求不多,89,,
羽毛球1,体育课,非公选课,徐勇,感觉老师有点严格，尤其是期末,基本上每节课都会点名的,期末考发高远球和双人对打高远球,87,,
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,羿旭明,老师特别好！讲的很仔细而且不签到,每周两次作业 这学期没签过到,学校统一闭卷考试安排,75,,
中国宗教文学,专业课程,非公选课,吴光正,很好，结课写相关论文或者翻译英文论文，可以直接软件翻，自己改改。老师给分很好。,无考勤，无平时作业！！,翻译论文或者写相关论文,99,,
现代住区与城市社会,通识选修课（公选课）,社会科学与现代社会,杨丽,老师上课会讲很多和城市与社会有关的知识，有好多干货但是讲授的方法非常有意思，课上还会给放影视剧片段。而且老师人也很好，非常温柔，给分也非常nice,一学期总共有四次签到，课上会有小讨论题，都比较主观，在学习通上回答。有一次随堂小测但是题目非常非常简单。有一次小组展示。,期末结课做一份海报即可,92,,
离散数学,专业课程,非公选课,罗飞,"老师讲课思路很清晰 会引导我们联系各个章节的知识关系 还经常拓展一些相关的数学和计算机知识 
上罗老师的课很轻松 不用多花时间自学（虽然他自己也说自学效果不好）总之强烈推荐选罗老师的课！",偶尔签到一两次 作业很少,闭卷考试， 但是考试难度不小 。,90,,
旅行生活与寄生虫病,通识选修课（公选课）,科学精神与生命关怀,蔡国斌,寄生虫之类的很多关于这方面知识,无签到！真的很好！可能会有一节课别的老师来上！有小组讨论！但是没来也没关系,两千字论文结课 最后一节课做实验 还挺有意思 没去也没关系 ,91,,
坛经,通识选修课（公选课）,中华文化与世界文明,高文强,平时老师管得很松，但我认为老师会卡绩，不推荐,平时作业没有，无签到，背《心经》可加10分,老师说是论文结课，打印下来交给老师,88,,
量子力学探秘,通识选修课（公选课）,科学精神与生命关怀,王宝山,老师挺好的，点名会提前告知,点名两次，海报，结课论文或开卷考试,结课论文或开卷考试二选一,89,,
高等代数习题拓展,专业课程,非公选课,樊启斌,good挺水的，考试是考卷带回去自己做,无只有最后的考试同上,考试。。。。。。。。,94,,
大学生心理健康,公共课（高数、线代、大物和思政课等）,非公选课,李杰,上课内容还可以，有一些小组活动游戏,有签到，跟其他老师相比有很多作业，比较麻烦,期末考试 ，但因为疫情22级上学期是论文,90,,
宪法学,专业课程,非公选课,黄明涛,主要讲授了宪法相关历史和基础理论，老师讲课很有自己的风格。,平时作业只有一篇小论文，字数有上限，不用写太多。,期末闭卷考试，都是主观题,98,,
自然科学经典导引,通识必修课（导引课）,非公选课,钟赛香,太恶心了，大课有快问快答，小班quiz,以快问快答作为考勤，论文结课,论文结课，平时成绩。。,0,,
西北地区水资源,通识选修课（公选课）,科学精神与生命关怀,谢平,西北地区的水资源，谢平老师我真的很爱,三次纸质签到，一次个人展示，一次小组展示,思考题结课，10道思考题，没有开卷和闭卷期末考试,91,,
体育,体育课,非公选课,汪娟,课程内容普通，老师很凶,迟到扣一分，请假扣两分，旷课扣三分,体测考试，篮球或排球，50米，立定跳远,73,,
创业营销,通识选修课（公选课）,社会科学与现代社会,汪涛,老师每节课的内容还挺饱满，后面几节课会请一些企业家校友来讲,没有签到，没有强制点人提问，没有小组展示，没有平时作业,期末交一篇创业营销策略论文,90,,
r语言,专业课程,非公选课,lb,考试难度大，实操很多。,平时作业多，每节课点名,开卷，机考＋纸质试卷,60,,
遥感原理与应用,专业课程,非公选课,周军其,主要讲遥感的概况和相关技术，介绍遥感图像如何处理,会有签到，老师课上会随机摇人回答问题，但不会很难，每章结束后会发布本章作业，期终考试是闭卷考试，基本上是需要背的内容。,闭卷考试，基本上是需要背的内容,87,,
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,很好很好！老师很幽默，内容很有趣，考试很简单（就是抄书）,没有签到，也没有作业,开卷考试，就是一些简答题,95,,
高等数学C2,公共课（高数、线代、大物和思政课等）,非公选课,童欣,特别好特别好，选到就是赚到,正常平时作业，会有期中考试但占比不大,学校组织的统一期末考试,92,,
东亚国际关系史,通识选修课（公选课）,社会科学与现代社会,林泉忠,"主要讲中国与日本、朝韩等东亚国家外教关系的演变，内容很实在也
很有趣
老师专业知识扎实，是很著名的学者",有两到三次的闭卷课堂作业，计入总分,两道论述题，开卷（只能带纸质材料），根据课上的笔记结合自己的理解都能答出来,93,,
新时代中国特色大国外交与国际形势,通识选修课（公选课）,中华文化与世界文明,赵嵘,会分析国际形势以及一些国际趣事，老师很幽默，讲课很好，给分也好，也能学到知识。,不签到，不提问，有一次小组展示,老师会给很多选题，要求选择其中一个选题，所有选同一个选题的人为一组，合作完成一篇论文。,95,,
高等数学C1,公共课（高数、线代、大物和思政课等）,非公选课,汪春晖,高数C1，老师很好很佛系,三次随机考勤，每周作业,平时+签到+考核，学校统一吧,97,,
书法艺术与汉字变迁,通识选修课（公选课）,中华文化与世界文明,王统尚,讲解书法艺术变迁历史以及自己练习，练习时老师会下来点拨并回答同学问题,一学期签了几次到，无提问，平时有几次临摹作业不要求质量好好写就行,1500字论文结课，无考试。还没出分啊，但老师人很好，给分应该不会低，后面那个课程成绩瞎填的,90,,
大学英语2,英语课,非公选课,李加莉,老师上课内容很好 确确实实在教知识 是一个比较系统化的教学体系 好好记笔记的话 是能学到很多东西的,"每周都有作业 作业有点多 
偶尔会有签到 
一人一次小组展示
上课会有提问 但氛围比较轻松 大多都是小组为单位讨论 如果遇到好队友 可以直接躺平（比如我）",平时50分+期末考试50分,86,,
计算科学的社会文化,通识选修课（公选课）,社会科学与现代社会,张华,还行，给分不错，上90的人很多,有签到，上课可以水，结课有论文3000但很水，还有个pre也很水,论文3000字，写一项技术和它可能引发的社会问题,93,,
博弈论,通识选修课（公选课）,社会科学与现代社会,陈植元,讲人与人之间的博弈，但是由于这学期太忙没怎么听过，还是很推荐！,签到很少，就一次。提问基本没有，除非你主动互动。课程本身内容也蛮有意思的。,考核就是闭卷考试，不用担心，提前两天过一遍ppt就差不多，不会很难。我平时上课基本没听，考前看了一遍ppt，最后93。个人感觉比写论文或者搞展示还轻松点。,93,,
国际金融,专业课程,非公选课,李艳丽,老师讲的不错，考的不难，要多问问题,作业少，两周签到一次,闭卷考试，背PPT为主看课本为辅,85,,
西北水资源,通识选修课（公选课）,科学精神与生命关怀,谢平,介绍西北水资源，老师讲的很好，内容充实,好像是纸质签到，平时作业是一次小组展示,写一篇论文，要求不高,92,,
大学生职业发展与就业指导,通识选修课（公选课）,社会科学与现代社会,各个学院的辅导员或老师,面试、时间管理、简历、性格测试等,有签到，两个平时小作业,一份2500字的专业与职业报告,90,,
流行音乐的历史、风格与审美,通识选修课（公选课）,艺术体验与审美鉴赏,王渊,老师会介绍流行音乐的发展历史与代表人物和作品,无平时作业，没有签到,原创、翻唱或乐评结课,97,,
能源与环境,通识选修课（公选课）,科学精神与生命关怀,汪的华,能源与环境，资环方向的，很好,一次作业，论文结课，汪老师不点名，但他的博士生来代课会点名,论文结课，能源与环境相关论文，给分很好,95,,
电路原理,专业课程,非公选课,崔雪,老师超好，讲课很清楚，一直听收货满满，作业几周才交一次，期末还会捞人,两次点名签到，几乎没有提问,期末百分之60?平时成绩40%,70,,
积极心理学,通识选修课（公选课）,中华文化与世界文明,喻丰,超级超级超级好，永远爱喻丰老师！,平时作业就是一周填一个电子版问卷,结课就是交一篇心得体会，字数主题都不限，超级轻松。,0,,
中国现代文学与视觉文化,通识选修课（公选课）,艺术体验与审美鉴赏,张园,老师讲得很好，收获很多,没有签到，提问会加分，有一次小组展示,开卷小论文（字数不限）,86,,
数据库,专业课程,非公选课,汪滔阳,老师人很好，给分一般，一个班30人，满绩的就俩,有签到提问，有时候有作业,有个期末考试啦啦啦啦,86,,
商业谈判,通识选修课（公选课）,社会科学与现代社会,张三保,老师上课唠嗑帮助你客服社恐,每堂上课结束写个课堂总结,我们那年是看个电影然后写电影里的谈判技巧，然后老师和你面谈,90,,
现代传播媒介,通识选修课（公选课）,社会科学与现代社会,冉华,老师很有趣，介绍了传播学知识,不签到 不提问 有一次小组展示 ,现场写一篇与上课过程中印象最深的部分有关的论文,93,,
